Code,Country,First Participation,Participations,All Participations,Male Participations,Female  Participations,Distinct Participations,Average Participations Length(in Years),Gold ,Silver ,Bronze,Hounerable Mentions 
ALB,Albania,1993,27,149,114,35,101,1.47,0,2,9,45
ALG,Algeria,1977,23,116,65,10,102,1.13,1,2,8,24
AGO,Angola,2019,1,2,2,,2,1,0,0,0,0
ARG,Argentina,1988,36,213,197,16,129,1.65,6,28,72,51
ARM,Armenia,1993,32,189,127,6,114,1.65,1,30,74,45
AUS,Australia,1981,44,264,240,24,193,1.36,29,78,102,21
AUT,Austria,1970,54,344,322,22,225,1.52,13,40,112,64
AZE,Azerbaijan,1993,31,178,174,4,113,1.57,0,10,45,67
BAH,Bahrain,1990,3,18,5,1,18,1,0,0,0,1
BGD,Bangladesh,2005,20,111,98,13,61,1.81,1,7,37,44
BLR,Belarus,1993,32,190,114,20,129,1.47,19,61,84,18
BEL,Belgium,1969,46,281,135,15,227,1.23,1,19,74,74
BEN,Benin,2009,2,5,3,2,5,1,0,0,0,0
BTN,Bhutan,2024,1,5,5,0,5,1,0,0,0,0
BOL,Bolivia,1997,20,92,71,21,72,1.27,0,0,1,21
BIH,Bosnia and Herzegovina,1993,32,184,151,33,110,1.67,3,11,63,61
BWA,Botswana,2015,10,56,42,14,37,1.51,0,0,0,5
BRA,Brazil,1979,45,267,251,10,190,1.4,15,58,91,35
BRU,Brunei,2000,1,2,,,2,1,0,0,0,0
BGR,Bulgaria,1959,65,432,386,38,307,1.4,57,130,121,15
BFA,Burkina Faso,2014,2,12,9,3,12,1,0,0,0,1
KHM,Cambodia,2007,9,52,40,12,52,1,0,0,0,14
CMR,Cameroon,2023,1,6,6,0,6,1,0,0,0,0
CAN,Canada,1981,44,264,246,18,173,1.52,42,71,97,21
CHI,Chile,1994,21,82,72,10,66,1.24,0,3,6,31
CHN,People's Republic of China,1985,39,230,221,9,216,1.06,185,37,6,0
COL,Colombia,1981,44,262,241,21,157,1.66,1,19,82,57
CIS,Commonwealth of Independent States,1992,1,6,6,,6,1,2,3,0,1
CRI,Costa Rica,2005,20,107,91,16,67,1.59,0,1,22,49
HRV,Croatia,1993,32,192,167,25,120,1.6,6,30,87,41
CUB,Cuba,1971,46,173,80,9,144,1.2,1,7,37,33
CYP,Cyprus,1984,40,228,205,23,142,1.6,0,7,22,61
CZE,Czech Republic,1993,32,192,180,12,131,1.46,7,39,80,45
CZS,Czechoslovakia,1959,33,237,208,6,170,1.39,10,50,73,2
DEN,Denmark,1991,34,198,182,16,139,1.42,1,6,43,61
DOM,Dominican Republic,2019,4,22,16,6,17,1.29,0,0,0,5
ECU,Ecuador,1988,26,150,117,16,94,1.59,0,0,12,39
EGY,Egypt,2016,5,18,15,3,18,1,0,0,0,1
EST,Estonia,1993,32,189,167,22,97,1.94,0,11,38,71
FIN,Finland,1965,51,320,283,37,228,1.4,1,12,57,75
FRA,France,1967,55,349,311,13,279,1.25,27,72,129,29
GMB,Gambia,2014,1,6,5,1,6,1,0,0,0,0
GEO,Georgia,1993,32,192,182,10,120,1.6,6,23,81,56
GDR,German Democratic Republic,1959,29,210,195,15,157,1.33,26,62,60,0
GER,Germany,1977,47,288,277,11,181,1.59,54,114,91,16
GHA,Ghana,2014,11,39,26,13,30,1.3,0,0,1,2
HEL,Greece,1975,46,282,151,14,199,1.41,5,33,84,63
GTM,Guatemala,1997,15,55,42,13,46,1.19,0,0,1,6
HND,Honduras,2008,14,38,35,3,30,1.26,0,0,1,11
HKG,Hong Kong,1988,37,222,210,12,144,1.54,14,66,93,25
HUN,Hungary,1959,64,420,402,18,272,1.54,88,174,116,10
ISL,Iceland,1985,40,215,187,28,141,1.52,0,1,12,49
IND,India,1989,35,210,201,8,147,1.42,20,74,79,29
IDN,Indonesia,1988,36,212,129,12,157,1.35,6,30,61,37
IRQ,Iraq,2016,8,41,36,5,31,1.32,0,0,3,4
IRN,Islamic Republic of Iran,1985,39,229,220,9,205,1.11,51,113,50,5
IRL,Ireland,1988,37,222,189,33,155,1.43,0,2,11,61
ISR,Israel,1979,43,256,239,9,153,1.67,22,68,107,23
ITA,Italy,1967,45,263,247,10,186,1.41,22,54,80,35
CIV,Ivory Coast,2010,7,39,35,4,34,1.14,0,1,0,8
JAM,Jamaica,2016,1,1,1,,1,1,0,0,0,0
JPN,Japan,1990,35,210,207,3,145,1.44,48,98,52,6
KAZ,Kazakhstan,1993,31,186,182,4,133,1.39,16,47,77,29
KEN,Kenya,2016,7,36,30,6,34,1.05,0,0,0,0
PRK,Democratic People's Republic of Korea,1990,14,84,60,,57,1.47,22,36,9,2
KOR,Republic of Korea,1988,37,222,211,11,162,1.37,95,83,28,7
KSV,Kosovo,2011,13,77,66,11,52,1.48,0,0,2,30
KWT,Kuwait,1982,28,126,41,10,123,1.02,0,0,1,1
KGZ,Kyrgyzstan,1993,32,176,163,13,129,1.36,1,4,12,57
LAO,Laos,2016,1,6,2,4,6,1,0,0,0,0
LVA,Latvia,1993,32,192,164,28,122,1.57,1,11,46,73
LIE,Liechtenstein,2005,15,24,17,7,14,1.71,0,1,4,7
LTU,Lithuania,1993,32,191,173,18,116,1.64,2,10,56,66
LUX,Luxembourg,1979,39,110,86,24,59,1.86,2,5,24,28
MAC,Macau,1990,33,197,110,16,128,1.53,2,5,36,67
MDG,Madagascar,2016,1,5,3,2,5,1,0,0,0,0
MAS,Malaysia,1995,30,166,131,8,87,1.9,6,18,35,43
MRT,Mauritania,2009,4,24,24,0,24,1,0,0,0,5
MEX,Mexico,1981,39,232,223,9,167,1.38,6,35,80,41
MDA,Republic of Moldova,1993,32,181,170,11,86,2.1,5,25,60,53
MNG,Mongolia,1964,53,344,112,14,284,1.21,8,32,81,57
MNE,Montenegro,2007,17,63,49,14,42,1.5,0,3,2,18
MAR,Morocco,1983,41,243,125,11,215,1.13,0,4,36,83
MOZ,Mozambique,2004,3,11,8,3,8,1.37,0,0,0,0
MMR,Myanmar,2016,7,42,34,8,37,1.13,0,0,0,11
NPL,Nepal,2017,8,48,45,3,42,1.14,0,0,0,7
NLD,Netherlands,1969,54,346,328,18,259,1.33,11,35,95,52
NZL,New Zealand,1988,37,222,193,27,146,1.52,2,15,62,67
NIC,Nicaragua,1987,10,39,33,0,23,1.69,0,0,4,18
NGA,Nigeria,2006,14,72,66,6,44,1.63,0,0,5,16
MKD,North Macedonia,1993,32,188,151,37,104,1.8,2,9,52,51
NOR,Norway,1984,41,238,219,19,154,1.54,3,15,43,53
OMN,Oman,2020,5,30,10,20,25,1.2,0,0,1,0
PAK,Pakistan,2005,19,107,97,10,88,1.21,0,2,9,24
PSE,Palestine,2022,1,1,1,0,1,1,0,0,0,1
PAN,Panama,1987,17,51,43,2,38,1.34,0,0,5,20
PAR,Paraguay,1997,26,127,91,21,87,1.45,0,1,11,28
PER,Peru,1987,31,171,128,10,109,1.56,5,44,63,34
PHI,Philippines,1988,36,186,176,8,121,1.53,4,20,43,32
POL,Poland,1959,64,418,408,10,318,1.31,34,98,144,28
POR,Portugal,1989,36,215,203,12,143,1.5,3,8,42,50
PRI,Puerto Rico,1997,25,108,64,22,83,1.3,1,1,7,19
ROU,Romania,1959,65,428,372,16,293,1.46,86,158,111,7
RUS,Russian Federation,1992,30,180,168,12,143,1.25,106,62,12,0
RWA,Rwanda,2021,4,24,15,9,15,1.6,0,0,0,8
SLV,El Salvador,2005,19,68,62,6,42,1.61,0,1,6,35
SAU,Saudi Arabia,2004,20,115,103,8,79,1.45,0,12,45,19
SRB,Serbia,2006,19,114,103,11,60,1.9,16,37,39,18
SCG,Serbia and Montenegro,2003,3,18,16,2,11,1.63,0,5,7,3
SGP,Singapore,1988,37,222,209,11,144,1.54,25,74,74,23
SVK,Slovakia,1993,32,192,169,23,115,1.66,6,42,89,37
SVN,Slovenia,1993,32,189,155,34,117,1.61,1,8,42,76
SAF,South Africa,1992,33,198,174,24,107,1.85,1,11,55,78
ESP,Spain,1983,42,246,237,9,199,1.23,0,8,66,65
LKA,Sri Lanka,1995,29,146,113,8,90,1.62,0,0,26,67
SWE,Sweden,1967,57,367,338,29,266,1.37,7,35,89,66
SUI,Switzerland,1991,34,185,165,20,113,1.63,3,13,63,48
SYR,Syria,2009,16,93,83,10,61,1.52,0,5,14,43
TWN,Taiwan,1992,33,198,131,3,142,1.39,46,105,38,8
TJK,Tajikistan,2005,20,116,114,2,64,1.81,0,5,28,57
TZA,Tanzania,2014,8,24,23,1,21,1.14,0,0,0,1
THA,Thailand,1989,36,216,149,4,142,1.52,34,70,53,26
TTO,Trinidad and Tobago,1991,32,171,91,21,98,1.74,0,2,5,31
TUN,Tunisia,1981,33,162,102,8,142,1.14,1,6,19,48
TUR,Türkiye,1978,41,248,237,11,173,1.43,22,74,95,15
NCY,Turkish Republic of Northern Cyprus,1993,1,6,3,3,6,1,0,0,0,0
TKM,Turkmenistan,1993,25,134,113,2,95,1.41,0,6,35,50
UGA,Uganda,2012,13,69,52,17,54,1.27,0,0,0,7
UKR,Ukraine,1993,32,192,166,26,146,1.31,43,75,58,10
UAE,United Arab Emirates,2008,7,36,14,22,33,1.09,0,0,1,2
UNK,United Kingdom,1967,57,368,349,18,260,1.41,56,124,131,18
USA,United States of America,1974,50,312,306,6,216,1.44,151,120,30,1
URY,Uruguay,1987,27,120,92,7,78,1.53,0,0,2,34
USS,Union of Soviet Socialist Republics,1959,29,204,195,9,190,1.07,77,67,45,0
UZB,Uzbekistan,1997,23,130,96,6,104,1.25,0,12,35,50
VEN,Venezuela,1981,31,92,41,25,61,1.5,0,2,5,27
VNM,Vietnam,1974,48,288,145,9,260,1.1,69,117,85,3
YUG,Yugoslavia,1963,37,256,232,24,193,1.32,6,46,96,7
ZWE,Zimbabwe,2009,2,8,8,,8,1,0,0,0,0
