,DEC. 2001,DEC. 2002,DEC. 2003,DEC. 2004,DEC. 2005,DEC. 2006,DEC. 2007,DEC. 2008,DEC. 2009,DEC. 2010,DEC. 2011,DEC. 2012,JUN. 2013,DEC. 2013,JUN. 2014,DEC. 2014,JUN. 2015,DEC. 2015,JUN. 2016,DEC. 2016,JUN. 2017,DEC. 2017,JUN. 2018,DEC. 2018,JUN. 2019,DEC. 2019,JUN. 2020,DEC. 2020,JUN. 2021,DEC. 2021,JUN. 2022,DEC. 2022,JUN. 2023
"Afghanistan, Islamic Rep. of",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Albania,9.540039731,6.237278878,4,4.932704,6,12,13,13,6,15,82,91,,230.2,,239,,234,,218,,303,,337,,173,,,,341,,316,
Algeria,,,,C ,0,,0,,0,0,0,0,,,,0,,0,,0,,0,,0,,0,,,,0,,0,
American Samoa,,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Andorra, Principality of",,0,,2.498841,5,9,14,7,0,0,5,8,,1.1,,0,,0,,0,,0,,0,,0,,,,39,,41,
Angola,,0,,0,0,,0,0,6,0,7,7,,0,,0,,434,,349,,468,,1383,,2175,,,,2543,,2675,
Anguilla,,0,0,2.223833,3,4,15,4,1,0,403,1,,660.7,,301,,215,,1107,,2135,,678,,0,,,,1250,,719,
Antigua and Barbuda,,0.40993885,1,12.089159,34,33,127,29,114,112,44,66,52,133.7,68,0,0,147,59,143,42,149,126,118,89,104,91,3,3,16,47,201,123
Argentina,4712.755138,3615,4315,4826.962383,6852,11018,9826,4246,7296,10795,9584,7110,7748,9067.1,14291,16046,15477,15071,21308,24714,35437,44510,40167,34430,32145,22485,23656,18285,16993,15530,14602,12678,18029
"Armenia, Rep. of",,0,,0,0,,0,0,0,0,0,0,,220.7,,216,236,444,240,426,247,284,166,224,114,258,335,279,323,349,261,215,192
"Aruba, Kingdom of the Netherlands",271.3611301,542.356585,906,1113.995958,1189,1272,1102,908,848,637,548,502,511,172.3,181,167,163,142,179,200,199,189,195,223,228,225,233,190,194,197,196,154,183
Australia,55182.64663,58616,90502,103411.762,128202,173153,222570,145542,276431,323303,333584,351064,336731.59,337804.8,344702,311486,318217,295959,296136,296183,324698,354874,357404,332553,364681,366041,328599,381048,410009,459712,409178,423875,405780
Austria,4335.509602,5761,10372,15249.40708,17281,26569,28997,9923,14974,18070,11522,14408,15676,18776.9,21034.1,19523,17823,17331,17641,18354,23535,32061,28122,24523,26123,26447,21851,25160,27310,32733,25747,26130,27478
"Azerbaijan, Rep. of",,0,,0,0,,0,0,0,0,7,87,,230.9,,654,854,805,1202,1178,1535,1629,1504,1480,1671,1604,1402,1505,1516,1576,1270,1299,1038
"Bahamas, The",1647.061991,1921.901457,2912,2651.507668,3266,1674,2262,1284,2171,2009,5253,5467,6227,5646.2,6600,8424,6538,6869,6013,5978,4686,8099,4434,7516,5644,8474,6225,2799,2706,3893,2322,3518,3153
"Bahrain, Kingdom of",,,,C ,0,0,0,,0,0,0,0,,,,864,,420,,666,608,1108,985,1578,1906,2723,2627,3158,2816,3412,2743,2750,2676
Bangladesh,4,1.5857496,0,0,0,4,167,47,13,69,80,102,,244.5,,646,639,627,641,719,846,924,853,820,755,665,458,499,436,433,296,242,196
Barbados,54.00022073,141.2283515,253,256.013015,272,323,423,400,1365,1476,1580,1684,1965,1831.2,2532,2471,3361,2803,2961,2837,2876,2352,1990,1700,1997,1913,2039,2605,2558,3535,17607,3277,3076
"Belarus, Rep. of",,0,0,0,0,,0,0,0,109,239,408,467,312.4,413,396,294,206,286,329,874,1012,424,393,503,523,704,794,770,752,137,290,279
Belgium,12727.85551,12357.59901,16987,23973.43276,24664,35968,37874,23231,36751,35453,34015,45546,46463.362,64840.9,69728.8,63444,64348,68230,67563,58304,64849,72482,66157,52303,61357,64934,55022,66093,67832,69034,55960,59091,58878
Belize,8.060004415,37.1283213,77,60.068333,50,52,88,72,76,151,308,84,187,95.6,264,323,251,331,110,44,116,45,42,54,54,86,45,53,39,0,0,0,0
Benin,,0,,0,0,,0,0,0,0,1,1,,0,,1,,0,,0,,0,,0,,162,,,,452,,349,
Bermuda,125478.2864,97036.33631,116295,164073.876,186662,208050,272968,163128,147962,159545,160894,178344,193620,211126.2,231012,227490,235215,216632,207668,246567,256674,263129,272182,235978,263049,274843,229726,278782,288104,298640,225387,249449,256074
Bhutan,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Bolivia,3,0,3,0,0,,10,0,0,0,0,95,,191.2,,151,,58,,49,,155,,138,,155,,,,185,,128,
"Bonaire, St. Eustatius and Saba",,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,61,55,35,0,0
Bosnia and Herzegovina,10.54003973,27.82381868,50,149.329985,114,72,90,20,110,29,102,81,60,88.8,86,86,58,130,47,22,25,10,29,7,23,29,19,20,42,27,9,9,8
Botswana,23.12000883,11.0159604,5,6.906327,4,5,6,11,40,45,63,67,65,69.4,90,99,,79,,48,,45,,39,,30,,,,16,,53,
Brazil,34129.56853,24865,50229,62998.9712,90285,110294,188807,91453,212809,235129,196178,216116,179630,179869.5,201242.5,165863,157006,116193,141424,150929,161873,182232,162585,168692,192891,197708,134804,170654,199282,150561,147866,156639,180471
British Indian Ocean Territory,,0,0,0,0,,0,0,0,0,0,6,,15.6,,0,,60,,0,,0,,0,,0,,,,0,,2,
British Virgin Islands,2011.440989,2324.844996,3599,4466.676549,8382,10996,14843,8876,10314,15922,48047,60416,71424,61697.7,72093.7,76554,68582,62701,57517,63970,61650,67067,66988,64912,66495,71033,59998,65287,77114,84890,73618,61894,52911
Brunei Darussalam,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Bulgaria,1762.787341,1474.456772,1443,1172.977821,428,312,561,252,215,254,216,157,76,172.7,96,177,310,282,360,287,246,201,130,159,108,103,109,345,227,362,254,329,515
Burkina Faso,,0,0,0,0,,0,0,0,0,0,0,,0.6,,1,,1,,0,,0,,0,,0,,,,1,,11,
Burundi,,0,0,0,0,,4,4,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Cambodia,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Cameroon,,0,0,0,0,,0,0,0,1,3,4,,2.4,,0,,181,,228,,235,,205,,283,,,,178,,159,
Canada,211443.8615,230841,300978,344668.8213,418925,477889,586454,378435,540255,695213,736180,808022,792871.45,825946.5,909238,844179,840611,705290,809485,831037,885796,995893,1009758,981173,1112137,1097840,1062099,1195724,1376146,1471882,1282713,1241634,1298169
Cabo Verde,,0,,0,0,,0,0,0,0,0,0,,0,,0,,1,,0,,72,,0,,0,,,,0,,0,
Cayman Islands,71038.58292,87487.52976,124972,195676.768,248770,375542,543887,315228,373316,366025,708764,796931,870932.92,901140.4,1046965.4,1111962,1201768,1217097,1210770,1369100,1503626,1766954,1796696,1742177,1807057,2000800,2074184,2472992,2787862,2804042,2591425,2657565,2545166
Central African Rep.,1.060004415,0.488295698,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Chad,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Chile,5948.136784,6097,9697,11598.18149,12099,12539,12774,10299,15308,22531,23871,27912,28538,26634.8,29192,31328,29584,25893,26948,25935,30508,35096,34619,33778,35342,35881,35517,36796,37476,42535,40077,41060,46657
"China, P.R.: Hong Kong",32047.16788,23657,37661,37350.47679,46225,87518,121276,64816,92886,134817,115644,144743,126406.39,140162.3,145329.5,150785,156670,136033,126980,124224,145839,163536,167630,170544,195387,180713,162150,195536,169003,148516,134603,127384,118208
"China, P.R.: Macao",,0,,0,0,,0,0,13,56,0,0,,0,,0,,0,,0,,4,,21,,233,,,,48,,100,
"China, P.R.: Mainland",3003.88264,4963,13738,12722.51614,28443,75314,97240,54902,102303,102226,76799,120392,119180.86,103326.9,103464,133274,153627,107725,98687,101350,130257,162282,173885,159127,206020,222282,238547,290122,311768,303380,280872,242595,248384
Christmas Island,,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Colombia,2759.730869,2683,3487,4455.049905,5019,5828,6795,6848,7952,10451,15415,19996,17727,19655.6,24694,23686,23070,20037,22691,24422,26987,29068,28334,25850,27967,28792,25692,29819,27394,26048,21494,20587,22317
"Comoros, Union of the",,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Congo, Dem. Rep. of the",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Congo, Rep. of",,0,0,0,0,,0,44,128,149,177,223,242,252.2,253,255,245,256,173,135,119,130,152,98,162,160,142,135,128,136,138,128,130
Cook Islands,,0,0,0,73,,0,1,1,6,6,7,,1.4,,1,,0,,1,,0,,2,,10,,,,0,,0,
Costa Rica,190.6406357,218.4637817,337,259.919408,439,340,376,260,171,122,153,769,,1432.1,,1473,1589,1723,1862,1820,2024,2207,2038,1477,1871,2187,1669,1669,2756,1683,1403,1336,1657
Côte d'Ivoire,161.8206489,118.3809143,96,97.58705,92,95,159,61,264,181,289,716,778,788.7,856,1022,1323,1858,1387,1345,1367,1665,1909,1768,1852,2026,1815,2274,2376,2473,1862,1919,2252
"Croatia, Rep. of",762.7421146,629.0489606,676,715.559418,703,400,468,270,780,984,1337,2276,2333,2763.2,2504,2591,2648,2799,2959,2688,2381,2283,2028,1754,1919,1730,1726,1619,1311,1436,1106,835,499
Cuba,,0,0,0.57685,0,,0,0,0,0,0,0,2,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Curaçao, Kingdom of the Netherlands",,,,,,,,,,83309,69707,69652,,86090,,81653,76759,70084,82278,90883,72116,72737,69153,36602,39114,40926,18856,22987,32750,28876,36548,53462,48729
Curaçao and Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,109.8802119,91.80175109,100,102.617944,210,1123,2968,525,882,1355,1545,1587,1884,3296.6,3044,1716,1798,1549,1732,1549,1672,2116,2418,1830,2458,2611,2683,3733,6324,7020,1982,2936,2838
Czech Rep.,481.1001545,685,1293,1876.021891,1742,3071,5351,3753,4744,4873,4279,4420,3391,3516.6,3663,3103,2673,2938,2677,2691,3849,4765,4294,4095,4251,3959,3092,3479,3941,4796,4235,4033,4844
Denmark,12121.47674,13519,22141,23882.45298,25275,33978,47157,32337,37582,48905,43235,49269,49598.113,61460.4,75712,69233,81799,90082,91228,75340,96625,110150,92348,83604,101987,114745,129061,158731,171949,181103,149995,173050,194137
Djibouti,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Dominica,,0,0,0,0,,0,0,0,0,0,0,,,,0,,0,,0,,0,,0,,0,,,,0,,0,
Dominican Rep.,163.5206269,310.0898601,512,502.909469,763,817,849,380,622,815,866,1102,1542,1635.8,1951,2265,2961,3595,3928,3839,4495,4013,4447,4867,5486,5288,5202,6835,6972,6689,6059,7003,7603
Ecuador,773.7831476,770.4798894,902,1114.909894,983,552,709,386,318,307,287,289,258,334.8,486,705,,974,,1899,,3497,,3822,,4226,,,,3118,,2201,
"Egypt, Arab Rep. of",602.8810948,485.3342204,571,1151.854155,3755,6686,11868,4792,5778,10378,4614,4655,3186.2489,3394.5,3618.8,4649,4841,3084,2760,2617,6030,8093,10005,8302,11359,11818,9979,11818,11172,12018,5892,6366,4890
"Eritrea, The State of",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
El Salvador,69.76020307,291.3553377,601,674.26082,838,935,835,490,739,909,786,1175,933,941.1,936,1266,1154,1004,1112,1475,1834,2171,1950,1577,1615,1878,1298,1439,1523,1006,527,540,777
"Equatorial Guinea, Rep. of",,0,,0,0,,0,0,0,0,0,54,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Estonia, Rep. of",44.30002207,89.19445669,174,343.164315,97,98,174,90,98,130,120,146,141,149.6,147,126,109,118,128,113,124,214,139,123,86,76,85,49,100,174,290,394,625
"Eswatini, Kingdom of",,,,,0,,0,,,,,,,,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Ethiopia, The Federal Dem. Rep. of",,0,0,0,0,,0,0,0,0,0,0,,0,,231,,239,,220,,236,,225,,248,,,,166,,149,
Falkland Islands (Malvinas),,0,,0,1,2,4,1,3,29,17,24,,18.4,,12,59,6,82,1,191,0,0,1,1,1,1,1,0,0,0,0,0
Faroe Islands,,0,,0,0,,14,6,3,27,19,22,,58.2,,119,,163,,313,,694,,1199,,1080,,,,1021,,297,
"Fiji, Rep. of",,0,,0,0,7,29,27,21,17,7,7,,11,,67,68,45,45,47,50,50,59,68,84,85,86,0,0,0,0,0,0
Finland,55138.61373,37570,41126,38895.83141,48778,59934,94173,40959,34797,40621,23323,26578,29412.192,38112.2,41613.7,36823,35872,38323,39211,38860,44175,47153,48007,52832,55010,56140,55963,59712,69604,70321,56073,60074,60891
France,143571.6486,134989,183425,212505.1258,269945,397295,443513,280037,356616,360772,300683,369813,398409.49,460843,519549.9,477483,495292,466830,469314,487811,550210,598526,605643,556593,630268,656441,609220,701012,795016,795411,653346,690871,789665
French Polynesia,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
French Southern Territories,,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,C ,0,0,0,,0,0,0,0,,,,330,540,380,467,492,541,564,448,497,553,661,640,690,671,713,618,703,590
"Gambia, The",22.20008829,23.98198335,30,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Georgia,4.060004415,1.677607898,0,0,0,30,150,91,117,211,221,473,493.96068,402.7,516.7,578,546,528,591,1166,1245,953,598,533,747,676,632,645,612,425,507,299,455
Germany,134141.6721,130954,186611,197486.7521,213479,288324,421683,250830,289476,295413,262597,325218,334519.63,386324.6,405664.1,370053,404208,373190,351274,369660,437192,489736,487875,398767,449963,464830,465083,526281,587958,561979,432706,452993,503555
Ghana,208.0600044,564.6829329,1216,3.531657,3,3,193,114,229,367,449,582,622,840.3,691,964,1168,1230,1269,1714,2972,3160,3410,2855,3322,2952,3316,3434,3916,3205,1750,1231,1150
Gibraltar,22,13.7246042,31,63.616466,211,135,96,64,104,294,494,410,,471,,384,,245,,90,,198,,82,,148,,,,385,,197,
Greece,4563.247302,4111,5935,8290.181882,10554,16013,25484,8821,11474,7085,3775,4629,4671,7101,16100.8,10161,7435,7975,7402,7371,9189,9988,11930,8489,11220,11434,9645,10709,10205,9486,8125,8832,12694
Greenland,,0,,0,0,,0,0,0,0,0,0,,0,,13,,50,,56,,61,,182,,165,,,,308,,508,
Grenada,8.480035317,6.670291981,6,2.22,2,16,14,9,10,19,28,25,,19.6,,19,17,28,34,34,35,38,40,44,41,38,36,32,35,39,30,34,24
Guadeloupe,,0,,0,0,,0,0,0,0,6,0,,19.7,,0,,0,,0,,0,,0,,0,,,,0,,0,
Guam,,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Guatemala,60.3002428,77.06759297,109,173.391354,206,206,224,93,48,55,27,248,,370.5,,275,259,248,445,384,603,556,528,552,988,918,1227,1300,1440,1733,1395,1865,1995
Guernsey,4644.900287,4012.167136,5350,5940.680539,6396,12493,15830,6589,12271,14796,17129,27539,23055,29537.3,28412,38376,32459,37557,38174,42026,43640,50020,43848,43249,45170,46821,44357,52906,56244,64954,56364,56399,56400
"Guiana, French",,0,0,0,0,8,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Guinea,,0,,0,0,,3,2,2,2,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Guinea-Bissau,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Guyana,,2.303272,5,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Haiti,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Holy See,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Honduras,44.96007063,17.94712796,50,42.902588,45,29,27,40,29,29,14,14,,294.8,,376,389,422,439,389,681,696,600,626,556,541,702,481,429,466,348,652,598
Hungary,2026.361351,2430,3091,5104.210656,5635,8410,9225,4549,6800,6565,9081,13082,14029.838,15448.5,15879.4,15258,14824,12347,11177,12021,11647,12632,11018,11776,11612,12393,9244,11092,11641,12972,9070,9636,11874
Iceland,224.3807637,161.8034733,143,242.712539,3229,7828,7268,2049,1451,1644,1447,2103,1866,1947.5,2098.7,1885,2485,2138,1665,2627,1543,2600,2395,2111,2177,2510,2514,2537,2574,2659,1581,1454,1457
India,7197.601148,8975,18699,23524.83442,33226,49231,85149,31917,65495,91486,58594,78846,79428.384,85609.9,114266.1,129208,137285,130033,134306,133009,169203,194444,182998,176016,199100,200659,166892,237809,270142,305554,249015,286810,310812
Indonesia,1840.821311,3122,5072,6987.145207,9025,14072,18349,11160,22741,34861,39112,44991,47249.576,37458.1,46983.9,51670,49349,47129,55725,56278,65676,73229,62349,66617,73011,72742,62719,68655,64658,70817,64480,64621,70418
"Iran, Islamic Rep. of",,,,C ,0,0,0,,0,0,0,0,,,,0,,0,,0,,0,,0,,0,,,,0,,0,
Iraq,,,,C ,0,0,0,,0,0,0,0,,,,592,,507,,605,,2050,,1910,,2001,,,,1591,,713,
Ireland,32431.41254,25815,33470,55263.59061,75368,120513,131854,62809,120020,131936,149497,180851,218765.06,280713.7,336142.3,387485,472414,498270,460378,462334,506272,495403,490896,502658,569135,647745,566759,684464,806683,926083,730166,776698,863863
Isle of Man,1,0.3964374,0,15.045865,62,569,1306,510,1301,2842,2872,3285,2859,3988.8,3540,3799,3693,3768,3836,4323,4788,6050,5338,2643,4109,4831,4196,6441,8383,8559,5971,6408,6734
Israel,21233.21268,20109,28664,34315.23598,44313,41517,54250,46064,58804,63502,57968,56544,57890.471,62534.8,70059.5,75148,75267,79785,72981,64592,70771,66211,69544,64930,67884,69562,76617,94555,109491,118462,84510,87182,85310
Italy,48207.81539,47600,66931,77709.62601,79393,105893,119963,61763,78505,65638,62483,109565,79297.969,123541,150720.5,109321,115298,106546,90924,91862,117674,140214,132068,115191,132534,142897,126700,147658,156615,162032,122301,123893,145228
Jamaica,279.1211125,141.8089122,40,203.556402,446,592,662,337,382,315,243,221,134,154.5,133,417,,858,,881,,1059,,721,,1093,,,,1133,,777,
Japan,197839.4289,195439,291850,369806.4688,520084,585567,582342,389072,405121,502796,492456,506339,614034.08,674241.1,700188.6,673241,799294,811160,792953,847316,961587,1129195,1095979,1007631,1067247,1145392,1055511,1281840,1246412,1282101,1032654,1090083,1177469
Jersey,2447.766604,3079.871172,10456,12351.52478,19057,21450,28633,37307,45956,41906,48975,49120,63913.48,75160.6,86647,91079,91964,92365,98171,102218,105529,123375,120807,100868,98964,105812,95436,129993,160835,169905,137664,161893,172721
Jordan,98.10015451,64.96165162,57,40.503315,72,61,111,78,91,118,155,231,243,1086.1,1832,2011,3258,3196,3512,3714,3940,4705,4489,4459,3570,3349,3433,2895,2625,2589,1703,1826,2168
"Kazakhstan, Rep. of",139.8005739,111.2580643,102,346.087216,336,1288,1341,749,1422,2993,3329,3798,4356,3885.3,3923,3052,3974,4043,3842,4278,5074,5688,5207,4148,4937,4952,5194,5420,6311,6951,4186,4480,4371
Kenya,15.60004415,16.15358438,21,16.961633,20,15,32,39,103,192,223,444,,957.9,,2054,1963,1707,1760,1787,1787,1831,2467,2011,2680,3009,2459,2872,2947,2713,1441,1548,1536
Kiribati,,0,,0,0,,0,1,1,2,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
